Scan_params_set,Peak_x_set,Peak_y_set,Centroid_x_set,Centroid_y_set,A_set,Sx_set,Sy_set,X0_set,Y0_set,Wavelength_set,Atom_number_set,Folder_path,Files_used
0.013030000000000002,637.0,925.0,595.0,905.0,0.6751277372350434,35.62126717624201,43.295302275563074,919.4373351684819,634.5062885250371,7.8024602089e-07,17694464.456721056,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01503,623.0,914.0,620.0,912.0,0.6081942014533461,33.39774506597384,39.9455355205168,918.8417072231694,625.5713372650005,7.8024602089e-07,14253471.75112178,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01703,617.0,912.0,610.0,910.0,0.4516469799171994,38.25229341164763,45.20832080197888,918.3567662039027,611.7034535677867,7.8024602089e-07,13627388.751336621,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01903,595.0,905.0,584.0,908.0,0.3801608618738521,50.08748622569967,57.653408535379675,917.1037454103414,596.723869276685,7.8024602089e-07,18647319.021252602,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.02103,579.0,905.0,592.0,910.0,0.31930720952929337,43.39801838199349,50.13765330726514,916.1515447387233,584.4460431316403,7.8024602089e-07,12217157.966677751,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00103,674.0,922.0,622.0,902.0,0.007944968137446162,138.8849323376874,345.82909964294606,909.7188747506714,697.9821157526272,7.8024602089e-07,4701561.935582245,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00303,664.0,923.0,654.0,918.0,2.4032797769425813,12.831626654427094,20.635109414361796,922.6662590939234,665.6527155798699,7.8024602089e-07,9104133.630145665,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00503,665.0,922.0,644.0,914.0,1.7915404766990057,15.810640664041637,23.623007630080775,922.0245505965643,662.4616714540878,7.8024602089e-07,9547633.33056215,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.00703,660.0,917.0,638.0,913.0,1.4978737141861012,19.179007621317016,26.051118596718897,921.7515735806185,658.7381303175856,7.8024602089e-07,10694996.26489544,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.009030000000000002,658.0,916.0,636.0,914.0,1.1529974101691944,22.831192555014376,30.136620886180868,920.7051868435033,650.7203494009605,7.8024602089e-07,11385696.814127618,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01103,644.0,919.0,587.0,905.0,0.9185604054374471,31.785552361941107,39.73317665742307,919.6136065541718,641.7080397896585,7.8024602089e-07,16104105.759918531,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.013030000000000002,636.0,924.0,627.0,912.0,0.6795646606158214,29.719758728208333,36.14558325294097,919.0841601093739,634.3581358191284,7.8024602089e-07,10519967.472007947,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
0.01503,625.0,917.0,632.0,914.0,0.5890140976988147,32.55734401817652,39.22213786893536,919.1706645347788,625.2188547126818,7.8024602089e-07,10855578.022822103,../results/2025-09-10/13/,"000010452-AbsorptionImageExpFrag.h5, 000010456-AbsorptionImageExpFrag.h5, 000010454-AbsorptionImageExpFrag.h5, 000010453-AbsorptionImageExpFrag.h5, 000010455-AbsorptionImageExpFrag.h5, 000010451-AbsorptionImageExpFrag.h5"
